"";"id";"submitted";"updated";"title";"abstract";"authors";"affiliations";"link_abstract";"link_pdf";"link_doi";"comment";"journal_ref";"doi";"primary_category";"categories";"title_clean";"abstract_clean";"keywords_extracted";"found_in_title";"found_in_abstract";"citations_semantic";"citations_crossref"
"12";"2111.02705v1";"2021-11-04 09:29:16";"2021-11-04 09:29:16";"Benchmarking Multimodal AutoML for Tabular Data with Text Fields";"  We consider the use of automated supervised learning systems for data tables
that not only contain numeric/categorical columns, but one or more text fields
as well. Here we assemble 18 multimodal data tables that each contain some text
fields and stem from a real business application. Our publicly-available
benchmark enables researchers to comprehensively evaluate their own methods for
supervised learning with numeric, categorical, and text features. To ensure
that any single modeling strategy which performs well over all 18 datasets will
serve as a practical foundation for multimodal text/tabular AutoML, the diverse
datasets in our benchmark vary greatly in: sample size, problem types (a mix of
classification and regression tasks), number of features (with the number of
text columns ranging from 1 to 28 between datasets), as well as how the
predictive signal is decomposed between text vs. numeric/categorical features
(and predictive interactions thereof). Over this benchmark, we evaluate various
straightforward pipelines to model such data, including standard two-stage
approaches where NLP is used to featurize the text such that AutoML for tabular
data can then be applied. Compared with human data science teams, the fully
automated methodology that performed best on our benchmark (stack ensembling a
multimodal Transformer with various tree models) also manages to rank 1st place
when fit to the raw text/tabular data in two MachineHack prediction
competitions and 2nd place (out of 2380 teams) in Kaggle's Mercari Price
Suggestion Challenge.
";"Xingjian Shi|Jonas Mueller|Nick Erickson|Mu Li|Alexander J. Smola";"";"http://arxiv.org/abs/2111.02705v1";"http://arxiv.org/pdf/2111.02705v1";"";"Proceedings of the Neural Information Processing Systems (NeurIPS)
  Track on Datasets and Benchmarks 2021";"";"";"cs.LG";"cs.LG|cs.CL|stat.ML";"benchmarking multimodal automl for tabular data with text fields";"we consider the use of automated supervised learning systems for data tables that not only contain numeric/categorical columns, but one or more text fields as well. here we assemble 18 multimodal data tables that each contain some text fields and stem from a real business application. our publicly-available benchmark enables researchers to comprehensively evaluate their own methods for supervised learning with numeric, categorical, and text features. to ensure that any single modeling strategy which performs well over all 18 datasets will serve as a practical foundation for multimodal text/tabular automl, the diverse datasets in our benchmark vary greatly in: sample size, problem types (a mix of classification and regression tasks), number of features (with the number of text columns ranging from 1 to 28 between datasets), as well as how the predictive signal is decomposed between text vs. numeric/categorical features (and predictive interactions thereof). over this benchmark, we evaluate various straightforward pipelines to model such data, including standard two-stage approaches where nlp is used to featurize the text such that automl for tabular data can then be applied. compared with human data science teams, the fully automated methodology that performed best on our benchmark (stack ensembling a multimodal transformer with various tree models) also manages to rank 1st place when fit to the raw text/tabular data in two machinehack prediction competitions and 2nd place (out of 2380 teams) in kaggle's mercari price suggestion challenge.";"text, data, benchmark, multimodal, tabular";0;2;28;NA
"13";"2203.12637v1";"2022-03-23 18:00:19";"2022-03-23 18:00:19";"Asynchronous Collaborative Learning Across Data Silos";"  Machine learning algorithms can perform well when trained on large datasets.
While large organisations often have considerable data assets, it can be
difficult for these assets to be unified in a manner that makes training
possible. Data is very often 'siloed' in different parts of the organisation,
with little to no access between silos. This fragmentation of data assets is
especially prevalent in heavily regulated industries like financial services or
healthcare. In this paper we propose a framework to enable asynchronous
collaborative training of machine learning models across data silos. This
allows data science teams to collaboratively train a machine learning model,
without sharing data with one another. Our proposed approach enhances
conventional federated learning techniques to make them suitable for this
asynchronous training in this intra-organisation, cross-silo setting. We
validate our proposed approach via extensive experiments.
";"Tiffany Tuor|Joshua Lockhart|Daniele Magazzeni";"";"http://arxiv.org/abs/2203.12637v1";"http://arxiv.org/pdf/2203.12637v1";"";"Will appear in conference proceedings of ACM International Conference
  on AI in Finance (ICAIF '21)";"";"";"cs.LG";"cs.LG";"asynchronous collaborative learning across data silos";"machine learning algorithms can perform well when trained on large datasets. while large organisations often have considerable data assets, it can be difficult for these assets to be unified in a manner that makes training possible. data is very often 'siloed' in different parts of the organisation, with little to no access between silos. this fragmentation of data assets is especially prevalent in heavily regulated industries like financial services or healthcare. in this paper we propose a framework to enable asynchronous collaborative training of machine learning models across data silos. this allows data science teams to collaboratively train a machine learning model, without sharing data with one another. our proposed approach enhances conventional federated learning techniques to make them suitable for this asynchronous training in this intra-organisation, cross-silo setting. we validate our proposed approach via extensive experiments.";"data, learning, assets, asynchronous, machine";0;2;3;NA
"14";"2210.03305v1";"2022-10-07 03:28:33";"2022-10-07 03:28:33";"How Do Data Science Workers Communicate Intermediate Results?";"  Data science workers increasingly collaborate on large-scale projects before
communicating insights to a broader audience in the form of visualization.
While prior work has modeled how data science teams, oftentimes with distinct
roles and work processes, communicate knowledge to outside stakeholders, we
have little knowledge of how data science workers communicate intermediately
before delivering the final products. In this work, we contribute a nuanced
description of the intermediate communication process within data science
teams. By analyzing interview data with 8 self-identified data science workers,
we characterized the data science intermediate communication process with four
factors, including the types of audience, communication goals, shared
artifacts, and mode of communication. We also identified overarching challenges
in the current communication process. We also discussed design implications
that might inform better tools that facilitate intermediate communication
within data science teams.
";"Rock Yuren Pang|Ruotong Wang|Joely Nelson|Leilani Battle";"";"http://arxiv.org/abs/2210.03305v1";"http://arxiv.org/pdf/2210.03305v1";"";"This paper was accepted for presentation as part of the eighth
  Symposium on Visualization in Data Science (VDS) at ACM KDD 2022 as well as
  IEEE VIS 2022. http://www.visualdatascience.org/2022/index.html";"";"";"cs.HC";"cs.HC";"how do data science workers communicate intermediate results?";"data science workers increasingly collaborate on large-scale projects before communicating insights to a broader audience in the form of visualization. while prior work has modeled how data science teams, oftentimes with distinct roles and work processes, communicate knowledge to outside stakeholders, we have little knowledge of how data science workers communicate intermediately before delivering the final products. in this work, we contribute a nuanced description of the intermediate communication process within data science teams. by analyzing interview data with 8 self-identified data science workers, we characterized the data science intermediate communication process with four factors, including the types of audience, communication goals, shared artifacts, and mode of communication. we also identified overarching challenges in the current communication process. we also discussed design implications that might inform better tools that facilitate intermediate communication within data science teams.";"data, science, communication, intermediate, workers";2;12;NA;NA
"15";"2211.12507v3";"2022-11-22 03:23:40";"2023-06-05 13:22:12";"OpenFE: Automated Feature Generation with Expert-level Performance";"  The goal of automated feature generation is to liberate machine learning
experts from the laborious task of manual feature generation, which is crucial
for improving the learning performance of tabular data. The major challenge in
automated feature generation is to efficiently and accurately identify
effective features from a vast pool of candidate features. In this paper, we
present OpenFE, an automated feature generation tool that provides competitive
results against machine learning experts. OpenFE achieves high efficiency and
accuracy with two components: 1) a novel feature boosting method for accurately
evaluating the incremental performance of candidate features and 2) a two-stage
pruning algorithm that performs feature pruning in a coarse-to-fine manner.
Extensive experiments on ten benchmark datasets show that OpenFE outperforms
existing baseline methods by a large margin. We further evaluate OpenFE in two
Kaggle competitions with thousands of data science teams participating. In the
two competitions, features generated by OpenFE with a simple baseline model can
beat 99.3% and 99.6% data science teams respectively. In addition to the
empirical results, we provide a theoretical perspective to show that feature
generation can be beneficial in a simple yet representative setting. The code
is available at https://github.com/ZhangTP1996/OpenFE.
";"Tianping Zhang|Zheyu Zhang|Zhiyuan Fan|Haoyan Luo|Fengyuan Liu|Qian Liu|Wei Cao|Jian Li";"";"http://arxiv.org/abs/2211.12507v3";"http://arxiv.org/pdf/2211.12507v3";"";"22 pages, 3 figures, accepted by ICML2023";"";"";"cs.LG";"cs.LG";"openfe: automated feature generation with expert-level performance";"the goal of automated feature generation is to liberate machine learning experts from the laborious task of manual feature generation, which is crucial for improving the learning performance of tabular data. the major challenge in automated feature generation is to efficiently and accurately identify effective features from a vast pool of candidate features. in this paper, we present openfe, an automated feature generation tool that provides competitive results against machine learning experts. openfe achieves high efficiency and accuracy with two components: 1) a novel feature boosting method for accurately evaluating the incremental performance of candidate features and 2) a two-stage pruning algorithm that performs feature pruning in a coarse-to-fine manner. extensive experiments on ten benchmark datasets show that openfe outperforms existing baseline methods by a large margin. we further evaluate openfe in two kaggle competitions with thousands of data science teams participating. in the two competitions, features generated by openfe with a simple baseline model can beat 99.3% and 99.6% data science teams respectively. in addition to the empirical results, we provide a theoretical perspective to show that feature generation can be beneficial in a simple yet representative setting. the code is available at https://github.com/zhangtp1996/openfe.";"feature, openfe, generation, automated, features";0;4;NA;NA
"16";"2308.13228v1";"2023-08-25 08:00:09";"2023-08-25 08:00:09";"Meaningful XAI Based on User-Centric Design Methodology";"  This report first takes stock of XAI-related requirements appearing in
various EU directives, regulations, guidelines, and CJEU case law. This
analysis of existing requirements will permit us to have a clearer vision of
the purposes, the ``why'', of XAI, which we separate into five categories:
contestability, empowerment/redressing information asymmetries, control over
system performance, evaluation of algorithmic decisions, and public
administration transparency. The analysis of legal requirements also permits us
to create four categories of recipients for explainability: data science teams;
human operators of the system; persons affected by algorithmic decisions, and
regulators/judges/auditors. Lastly, we identify four main operational contexts
for explainability: XAI for the upstream design and testing phase; XAI for
human-on-the-loop control; XAI for human-in-the-loop control; and XAI for
ex-post challenges and investigations.Second, we will present user-centered
design methodology, which takes the purposes, the recipients and the
operational context into account in order to develop optimal XAI
solutions.Third, we will suggest a methodology to permit suppliers and users of
high-risk AI applications to propose local XAI solutions that are effective in
the sense of being ``meaningful'', for example, useful in light of the
operational, safety and fundamental rights contexts. The process used to
develop these ``meaningful'' XAI solutions will be based on user-centric design
principles examined in the second part.Fourth, we will suggest that the
European Commission issue guidelines to provide a harmonised approach to
defining ``meaningful'' explanations based on the purposes, audiences and
operational contexts of AI systems. These guidelines would apply to the AI Act,
but also to the other EU texts requiring explanations for algorithmic systems
and results.
";"Winston Maxwell|Bruno Dumas";"SES, IP Paris, I3 SES, NOS|";"http://arxiv.org/abs/2308.13228v1";"http://arxiv.org/pdf/2308.13228v1";"";"";"";"";"cs.HC";"cs.HC|cs.CY";"meaningful xai based on user-centric design methodology";"this report first takes stock of xai-related requirements appearing in various eu directives, regulations, guidelines, and cjeu case law. this analysis of existing requirements will permit us to have a clearer vision of the purposes, the ``why'', of xai, which we separate into five categories: contestability, empowerment/redressing information asymmetries, control over system performance, evaluation of algorithmic decisions, and public administration transparency. the analysis of legal requirements also permits us to create four categories of recipients for explainability: data science teams; human operators of the system; persons affected by algorithmic decisions, and regulators/judges/auditors. lastly, we identify four main operational contexts for explainability: xai for the upstream design and testing phase; xai for human-on-the-loop control; xai for human-in-the-loop control; and xai for ex-post challenges and investigations.second, we will present user-centered design methodology, which takes the purposes, the recipients and the operational context into account in order to develop optimal xai solutions.third, we will suggest a methodology to permit suppliers and users of high-risk ai applications to propose local xai solutions that are effective in the sense of being ``meaningful'', for example, useful in light of the operational, safety and fundamental rights contexts. the process used to develop these ``meaningful'' xai solutions will be based on user-centric design principles examined in the second part.fourth, we will suggest that the european commission issue guidelines to provide a harmonised approach to defining ``meaningful'' explanations based on the purposes, audiences and operational contexts of ai systems. these guidelines would apply to the ai act, but also to the other eu texts requiring explanations for algorithmic systems and results.";"xai, design, meaningful, operational, ai";0;2;3;NA
"17";"2312.07721v1";"2023-12-12 20:28:11";"2023-12-12 20:28:11";"Saturn Platform: Foundation Model Operations and Generative AI for
  Financial Services";"  Saturn is an innovative platform that assists Foundation Model (FM) building
and its integration with IT operations (Ops). It is custom-made to meet the
requirements of data scientists, enabling them to effectively create and
implement FMs while enhancing collaboration within their technical domain. By
offering a wide range of tools and features, Saturn streamlines and automates
different stages of FM development, making it an invaluable asset for data
science teams. This white paper introduces prospective applications of
generative AI models derived from FMs in the financial sector.
";"Antonio J. G. Busson|Rennan Gaio|Rafael H. Rocha|Francisco Evangelista|Bruno Rizzi|Luan Carvalho|Rafael Miceli|Marcos Rabaioli|David Favaro";"";"http://arxiv.org/abs/2312.07721v1";"http://arxiv.org/pdf/2312.07721v1";"http://dx.doi.org/10.5753/webmedia_estendido.2023.234354";"";"";"10.5753/webmedia_estendido.2023.234354";"cs.AI";"cs.AI";"saturn platform: foundation model operations and generative ai for financial services";"saturn is an innovative platform that assists foundation model (fm) building and its integration with it operations (ops). it is custom-made to meet the requirements of data scientists, enabling them to effectively create and implement fms while enhancing collaboration within their technical domain. by offering a wide range of tools and features, saturn streamlines and automates different stages of fm development, making it an invaluable asset for data science teams. this white paper introduces prospective applications of generative ai models derived from fms in the financial sector.";"saturn, ai, data, financial, fm";0;2;1;0
"18";"2402.13437v1";"2024-02-21 00:11:13";"2024-02-21 00:11:13";"Sketching AI Concepts with Capabilities and Examples: AI Innovation in
  the Intensive Care Unit";"  Advances in artificial intelligence (AI) have enabled unprecedented
capabilities, yet innovation teams struggle when envisioning AI concepts. Data
science teams think of innovations users do not want, while domain experts
think of innovations that cannot be built. A lack of effective ideation seems
to be a breakdown point. How might multidisciplinary teams identify buildable
and desirable use cases? This paper presents a first hand account of ideating
AI concepts to improve critical care medicine. As a team of data scientists,
clinicians, and HCI researchers, we conducted a series of design workshops to
explore more effective approaches to AI concept ideation and problem
formulation. We detail our process, the challenges we encountered, and
practices and artifacts that proved effective. We discuss the research
implications for improved collaboration and stakeholder engagement, and discuss
the role HCI might play in reducing the high failure rate experienced in AI
innovation.
";"Nur Yildirim|Susanna Zlotnikov|Deniz Sayar|Jeremy M. Kahn|Leigh A. Bukowski|Sher Shah Amin|Kathryn A. Riman|Billie S. Davis|John S. Minturn|Andrew J. King|Dan Ricketts|Lu Tang|Venkatesh Sivaraman|Adam Perer|Sarah M. Preum|James McCann|John Zimmerman";"";"http://arxiv.org/abs/2402.13437v1";"http://arxiv.org/pdf/2402.13437v1";"http://dx.doi.org/10.1145/3613904.3641896";"to appear at CHI 2024";"";"10.1145/3613904.3641896";"cs.HC";"cs.HC";"sketching ai concepts with capabilities and examples: ai innovation in the intensive care unit";"advances in artificial intelligence (ai) have enabled unprecedented capabilities, yet innovation teams struggle when envisioning ai concepts. data science teams think of innovations users do not want, while domain experts think of innovations that cannot be built. a lack of effective ideation seems to be a breakdown point. how might multidisciplinary teams identify buildable and desirable use cases? this paper presents a first hand account of ideating ai concepts to improve critical care medicine. as a team of data scientists, clinicians, and hci researchers, we conducted a series of design workshops to explore more effective approaches to ai concept ideation and problem formulation. we detail our process, the challenges we encountered, and practices and artifacts that proved effective. we discuss the research implications for improved collaboration and stakeholder engagement, and discuss the role hci might play in reducing the high failure rate experienced in ai innovation.";"ai, concepts, effective, innovation, teams";0;2;5;3
"19";"2403.07911v2";"2024-02-27 03:33:40";"2024-03-14 18:37:53";"Standing on FURM ground -- A framework for evaluating Fair, Useful, and
  Reliable AI Models in healthcare systems";"  The impact of using artificial intelligence (AI) to guide patient care or
operational processes is an interplay of the AI model's output, the
decision-making protocol based on that output, and the capacity of the
stakeholders involved to take the necessary subsequent action. Estimating the
effects of this interplay before deployment, and studying it in real time
afterwards, are essential to bridge the chasm between AI model development and
achievable benefit. To accomplish this, the Data Science team at Stanford
Health Care has developed a Testing and Evaluation (T&E) mechanism to identify
fair, useful and reliable AI models (FURM) by conducting an ethical review to
identify potential value mismatches, simulations to estimate usefulness,
financial projections to assess sustainability, as well as analyses to
determine IT feasibility, design a deployment strategy, and recommend a
prospective monitoring and evaluation plan. We report on FURM assessments done
to evaluate six AI guided solutions for potential adoption, spanning clinical
and operational settings, each with the potential to impact from several dozen
to tens of thousands of patients each year. We describe the assessment process,
summarize the six assessments, and share our framework to enable others to
conduct similar assessments. Of the six solutions we assessed, two have moved
into a planning and implementation phase. Our novel contributions - usefulness
estimates by simulation, financial projections to quantify sustainability, and
a process to do ethical assessments - as well as their underlying methods and
open source tools, are available for other healthcare systems to conduct
actionable evaluations of candidate AI solutions.
";"Alison Callahan|Duncan McElfresh|Juan M. Banda|Gabrielle Bunney|Danton Char|Jonathan Chen|Conor K. Corbin|Debadutta Dash|Norman L. Downing|Sneha S. Jain|Nikesh Kotecha|Jonathan Masterson|Michelle M. Mello|Keith Morse|Srikar Nallan|Abby Pandya|Anurang Revri|Aditya Sharma|Christopher Sharp|Rahul Thapa|Michael Wornow|Alaa Youssef|Michael A. Pfeffer|Nigam H. Shah";"";"http://arxiv.org/abs/2403.07911v2";"http://arxiv.org/pdf/2403.07911v2";"";"";"";"";"cs.CY";"cs.CY|cs.AI";"standing on furm ground -- a framework for evaluating fair, useful, and reliable ai models in healthcare systems";"the impact of using artificial intelligence (ai) to guide patient care or operational processes is an interplay of the ai model's output, the decision-making protocol based on that output, and the capacity of the stakeholders involved to take the necessary subsequent action. estimating the effects of this interplay before deployment, and studying it in real time afterwards, are essential to bridge the chasm between ai model development and achievable benefit. to accomplish this, the data science team at stanford health care has developed a testing and evaluation (t&e) mechanism to identify fair, useful and reliable ai models (furm) by conducting an ethical review to identify potential value mismatches, simulations to estimate usefulness, financial projections to assess sustainability, as well as analyses to determine it feasibility, design a deployment strategy, and recommend a prospective monitoring and evaluation plan. we report on furm assessments done to evaluate six ai guided solutions for potential adoption, spanning clinical and operational settings, each with the potential to impact from several dozen to tens of thousands of patients each year. we describe the assessment process, summarize the six assessments, and share our framework to enable others to conduct similar assessments. of the six solutions we assessed, two have moved into a planning and implementation phase. our novel contributions - usefulness estimates by simulation, financial projections to quantify sustainability, and a process to do ethical assessments - as well as their underlying methods and open source tools, are available for other healthcare systems to conduct actionable evaluations of candidate ai solutions.";"ai, assessments, furm, potential, solutions";0;1;2;NA
"20";"2403.10438v1";"2024-03-15 16:20:51";"2024-03-15 16:20:51";"Data Ethics Emergency Drill: A Toolbox for Discussing Responsible AI for
  Industry Teams";"  Researchers urge technology practitioners such as data scientists to consider
the impacts and ethical implications of algorithmic decisions. However, unlike
programming, statistics, and data management, discussion of ethical
implications is rarely included in standard data science training. To begin to
address this gap, we designed and tested a toolbox called the data ethics
emergency drill (DEED) to help data science teams discuss and reflect on the
ethical implications of their work. The DEED is a roleplay of a fictional
ethical emergency scenario that is contextually situated in the team's specific
workplace and applications. This paper outlines the DEED toolbox and describes
three studies carried out with two different data science teams that
iteratively shaped its design. Our findings show that practitioners can apply
lessons learnt from the roleplay to real-life situations, and how the DEED
opened up conversations around ethics and values.
";"Vanessa Aisyahsari Hanschke|Dylan Rees|Merve Alanyali|David Hopkinson|Paul Marshall";"";"http://arxiv.org/abs/2403.10438v1";"http://arxiv.org/pdf/2403.10438v1";"";"accepted to CHI 2024";"";"";"cs.HC";"cs.HC|cs.AI|cs.CY";"data ethics emergency drill: a toolbox for discussing responsible ai for industry teams";"researchers urge technology practitioners such as data scientists to consider the impacts and ethical implications of algorithmic decisions. however, unlike programming, statistics, and data management, discussion of ethical implications is rarely included in standard data science training. to begin to address this gap, we designed and tested a toolbox called the data ethics emergency drill (deed) to help data science teams discuss and reflect on the ethical implications of their work. the deed is a roleplay of a fictional ethical emergency scenario that is contextually situated in the team's specific workplace and applications. this paper outlines the deed toolbox and describes three studies carried out with two different data science teams that iteratively shaped its design. our findings show that practitioners can apply lessons learnt from the roleplay to real-life situations, and how the deed opened up conversations around ethics and values.";"data, deed, ethical, emergency, ethics";0;4;NA;NA
"21";"2404.17271v1";"2024-04-26 09:18:54";"2024-04-26 09:18:54";"To democratize research with sensitive data, we should make synthetic
  data more accessible";"  For over 30 years, synthetic data has been heralded as a promising solution
to make sensitive datasets accessible. However, despite much research effort
and several high-profile use-cases, the widespread adoption of synthetic data
as a tool for open, accessible, reproducible research with sensitive data is
still a distant dream. In this opinion, Erik-Jan van Kesteren, head of the
ODISSEI Social Data Science team, argues that in order to progress towards
widespread adoption of synthetic data as a privacy enhancing technology, the
data science research community should shift focus away from developing better
synthesis methods: instead, it should develop accessible tools, educate peers,
and publish small-scale case studies.
";"Erik-Jan van Kesteren";"";"http://arxiv.org/abs/2404.17271v1";"http://arxiv.org/pdf/2404.17271v1";"http://dx.doi.org/10.1016/j.patter.2024.101049";"4 pages, 2 figures";"";"10.1016/j.patter.2024.101049";"stat.OT";"stat.OT|cs.CY";"to democratize research with sensitive data, we should make synthetic data more accessible";"for over 30 years, synthetic data has been heralded as a promising solution to make sensitive datasets accessible. however, despite much research effort and several high-profile use-cases, the widespread adoption of synthetic data as a tool for open, accessible, reproducible research with sensitive data is still a distant dream. in this opinion, erik-jan van kesteren, head of the odissei social data science team, argues that in order to progress towards widespread adoption of synthetic data as a privacy enhancing technology, the data science research community should shift focus away from developing better synthesis methods: instead, it should develop accessible tools, educate peers, and publish small-scale case studies.";"data, accessible, research, synthetic, sensitive";0;1;2;0
"22";"2407.11824v1";"2024-07-16 15:11:54";"2024-07-16 15:11:54";"The Future of Data Science Education";"  The definition of Data Science is a hotly debated topic. For many, the
definition is a simple shortcut to Artificial Intelligence or Machine Learning.
However, there is far more depth and nuance to the field of Data Science than a
simple shortcut can provide. The School of Data Science at the University of
Virginia has developed a novel model for the definition of Data Science. This
model is based on identifying a unified understanding of the data work done
across all areas of Data Science. It represents a generational leap forward in
how we understand and teach Data Science. In this paper we will present the
core features of the model and explain how it unifies various concepts going
far beyond the analytics component of AI. From this foundation we will present
our Undergraduate Major curriculum in Data Science and demonstrate how it
prepares students to be well-rounded Data Science team members and leaders. The
paper will conclude with an in-depth overview of the Foundations of Data
Science course designed to introduce students to the field while also
implementing proven STEM oriented pedagogical methods. These include, for
example, specifications grading, active learning lectures, guest lectures from
industry experts and weekly gamification labs.
";"Brian Wright|Peter Alonzi|Ali Riveria";"";"http://arxiv.org/abs/2407.11824v1";"http://arxiv.org/pdf/2407.11824v1";"";"12 pages, 5 figures, publish at the 53rd Annual Southeast Decision
  Science Institute 2024, won best paper for Innovation track";"";"";"stat.OT";"stat.OT|cs.AI";"the future of data science education";"the definition of data science is a hotly debated topic. for many, the definition is a simple shortcut to artificial intelligence or machine learning. however, there is far more depth and nuance to the field of data science than a simple shortcut can provide. the school of data science at the university of virginia has developed a novel model for the definition of data science. this model is based on identifying a unified understanding of the data work done across all areas of data science. it represents a generational leap forward in how we understand and teach data science. in this paper we will present the core features of the model and explain how it unifies various concepts going far beyond the analytics component of ai. from this foundation we will present our undergraduate major curriculum in data science and demonstrate how it prepares students to be well-rounded data science team members and leaders. the paper will conclude with an in-depth overview of the foundations of data science course designed to introduce students to the field while also implementing proven stem oriented pedagogical methods. these include, for example, specifications grading, active learning lectures, guest lectures from industry experts and weekly gamification labs.";"data, science, definition, model, depth";0;1;0;NA
